Ticker,Date,Weight,,
DELL,7/16/2026,1.39%,,
MRVL,7/16/2026,0.90%,,
KLAC,7/16/2026,1.30%,,
GEV,7/16/2026,1.86%,,
CRS,7/16/2026,2.72%,,
ONTO,7/16/2026,1.18%,,
HWM,7/16/2026,3.22%,,
MTZ,7/16/2026,1.76%,,
NVT,7/16/2026,1.93%,,
CAT,7/16/2026,2.29%,,
VLO,7/16/2026,3.00%,,
ALAB,7/16/2026,0.91%,,
MRNA,7/16/2026,1.49%,,
FTI,7/16/2026,3.32%,,
AMD,7/16/2026,1.49%,,
HUM,7/16/2026,3.24%,,
ILMN,7/16/2026,2.84%,,
VIK,7/16/2026,3.04%,,
PWR,7/16/2026,2.34%,,
OSCR,7/16/2026,1.93%,,
MPWR,7/16/2026,1.47%,,
CW,7/16/2026,2.84%,,
BWA,7/16/2026,2.68%,,
MOG.A,7/16/2026,2.82%,,
ENS,7/16/2026,2.11%,,
CHRW,7/16/2026,3.69%,,
RPRX,7/16/2026,4.44%,,
IBKR,7/16/2026,2.79%,,
CMI,7/16/2026,1.92%,,
SNDK,7/20/2026,0.74%,,
LITE,7/20/2026,1.07%,,
WDC,7/20/2026,0.99%,,
MU,7/20/2026,1.08%,,
BE,7/20/2026,0.69%,,
STX,7/20/2026,1.11%,,
RKLB,7/20/2026,0.80%,,
TSEM,7/20/2026,1.04%,,
STRL,7/20/2026,1.18%,,
RVMD,7/20/2026,2.76%,,
FIX,7/20/2026,1.69%,,
INTC,7/20/2026,1.09%,,
TER,7/20/2026,1.07%,,
LRCX,7/20/2026,1.25%,,
MKSI,7/20/2026,1.34%,,
COHR,7/20/2026,0.97%,,
AMAT,7/20/2026,1.31%,,
ATI,7/20/2026,2.49%,,
GLW,7/20/2026,0.96%,,
FLEX,7/20/2026,1.30%,,
TPR,7/20/2026,2.78%,,
VRT,7/20/2026,1.49%,,
MRVL,7/20/2026,0.91%,,
ROIV,7/20/2026,3.11%,,
DELL,7/20/2026,1.29%,,
GEV,7/20/2026,1.91%,,
KLAC,7/20/2026,1.28%,,
CRS,7/20/2026,2.60%,,
NVT,7/20/2026,1.97%,,
HWM,7/20/2026,3.10%,,
CAT,7/20/2026,2.22%,,
VLO,7/20/2026,3.10%,,
MTSI,7/20/2026,1.26%,,
LSCC,7/20/2026,1.47%,,
FTI,7/20/2026,3.47%,,
AMD,7/20/2026,1.44%,,
ILMN,7/20/2026,2.83%,,
PWR,7/20/2026,2.36%,,
VIK,7/20/2026,3.05%,,
ALAB,7/20/2026,0.85%,,
MPWR,7/20/2026,1.49%,,
MRNA,7/20/2026,1.40%,,
RPRX,7/20/2026,4.38%,,
HUM,7/20/2026,2.86%,,
CHRW,7/20/2026,3.69%,,
KEYS,7/20/2026,2.29%,,
CMI,7/20/2026,2.62%,,
CW,7/20/2026,2.62%,,
PANW,7/20/2026,2.35%,,
IBKR,7/20/2026,2.56%,,
WWD,7/20/2026,2.98%,,
WELL,7/20/2026,3.33%,,
SNDK,7/27/2026,0.77%,,
WDC,7/27/2026,1.08%,,
LITE,7/27/2026,1.06%,,
MU,7/27/2026,1.19%,,
STX,7/27/2026,1.21%,,
TSEM,7/27/2026,1.10%,,
RVMD,7/27/2026,2.78%,,
STRL,7/27/2026,1.28%,,
FIX,7/27/2026,1.73%,,
TER,7/27/2026,1.17%,,
INTC,7/27/2026,1.09%,,
MKSI,7/27/2026,1.40%,,
LRCX,7/27/2026,1.27%,,
COHR,7/27/2026,0.97%,,
ATI,7/27/2026,2.64%,,
DELL,7/27/2026,1.51%,,
TPR,7/27/2026,2.92%,,
AMAT,7/27/2026,1.34%,,
VRT,7/27/2026,1.59%,,
FLEX,7/27/2026,1.34%,,
ROIV,7/27/2026,3.23%,,
MRVL,7/27/2026,0.99%,,
CRS,7/27/2026,2.78%,,
HWM,7/27/2026,3.45%,,
KLAC,7/27/2026,1.34%,,
GEV,7/27/2026,1.77%,,
NVT,7/27/2026,2.02%,,
CAT,7/27/2026,2.39%,,
FTI,7/27/2026,3.65%,,
VLO,7/27/2026,2.97%,,
LSCC,7/27/2026,1.55%,,
MTSI,7/27/2026,1.36%,,
VIK,7/27/2026,3.31%,,
ILMN,7/27/2026,2.81%,,
AMD,7/27/2026,1.46%,,
PWR,7/27/2026,2.50%,,
CW,7/27/2026,2.93%,,
MPWR,7/27/2026,1.61%,,
RPRX,7/27/2026,4.55%,,
WWD,7/27/2026,3.21%,,
CMI,7/27/2026,2.88%,,
ALAB,7/27/2026,0.86%,,
KEYS,7/27/2026,2.46%,,
HUM,7/27/2026,2.91%,,
IBKR,7/27/2026,2.65%,,
WELL,7/27/2026,4.82%,,
STT,7/27/2026,4.11%,,
