Ticker,Date
LRCX,3/30/2026
LMT,3/30/2026
VLO,3/30/2026
GLW,3/30/2026
STX,3/30/2026
SNDK,4/6/2026
LITE,4/6/2026
CIEN,4/6/2026
FTI,4/6/2026
WDC,4/6/2026
TER,4/6/2026
JNJ,4/6/2026
ATI,4/6/2026
FDX,4/6/2026
MU,4/6/2026
ROST,4/6/2026
TRGP,4/6/2026
XOM,4/6/2026
COHR,4/6/2026
HAL,4/6/2026
AMAT,4/6/2026
MTZ,4/6/2026
KEYS,4/6/2026
BG,4/6/2026
MRK,4/6/2026
SATS,4/6/2026
MRNA,4/6/2026
DOW,4/6/2026
ALB,4/6/2026
RVMD,4/6/2026
FIX,4/6/2026
VLO,4/6/2026
CTRA,4/6/2026
DVN,4/6/2026
GLW,4/6/2026
SNDK,4/7/2026
LITE,4/7/2026
CIEN,4/7/2026
FTI,4/7/2026
WDC,4/7/2026
TER,4/7/2026
ATI,4/7/2026
JNJ,4/7/2026
FDX,4/7/2026
ROST,4/7/2026
MU,4/7/2026
TRGP,4/7/2026
XOM,4/7/2026
HAL,4/7/2026
COHR,4/7/2026
MTZ,4/7/2026
AMAT,4/7/2026
KEYS,4/7/2026
BG,4/7/2026
DOW,4/7/2026
MRK,4/7/2026
MRNA,4/7/2026
SATS,4/7/2026
VLO,4/7/2026
FIX,4/7/2026
ALB,4/7/2026
RVMD,4/7/2026
CTRA,4/7/2026
DVN,4/7/2026
CASY,4/7/2026
SNDK,4/8/2026
LITE,4/8/2026
CIEN,4/8/2026
FTI,4/8/2026
WDC,4/8/2026
TER,4/8/2026
ATI,4/8/2026
JNJ,4/8/2026
FDX,4/8/2026
ROST,4/8/2026
MU,4/8/2026
TRGP,4/8/2026
XOM,4/8/2026
COHR,4/8/2026
HAL,4/8/2026
MTZ,4/8/2026
AMAT,4/8/2026
KEYS,4/8/2026
BG,4/8/2026
MRK,4/8/2026
MRNA,4/8/2026
FIX,4/8/2026
VLO,4/8/2026
DOW,4/8/2026
ALB,4/8/2026
SATS,4/8/2026
CASY,4/8/2026
RVMD,4/8/2026
GLW,4/8/2026
STX,4/8/2026
SNDK,4/13/2026
LITE,4/13/2026
CIEN,4/13/2026
FTI,4/13/2026
WDC,4/13/2026
TER,4/13/2026
ATI,4/13/2026
TSEM,4/13/2026
TRGP,4/13/2026
FDX,4/13/2026
ROST,4/13/2026
ROIV,4/13/2026
JNJ,4/13/2026
MU,4/13/2026
PR,4/13/2026
MTZ,4/13/2026
COHR,4/13/2026
HAL,4/13/2026
XOM,4/13/2026
AMAT,4/13/2026
KEYS,4/13/2026
RBC,4/13/2026
MKSI,4/13/2026
BG,4/13/2026
DOW,4/13/2026
FIX,4/13/2026
AA,4/13/2026
MRK,4/13/2026
GLW,4/13/2026
MRNA,4/13/2026
SNDK,4/17/2026
LITE,4/17/2026
CIEN,4/17/2026
FTI,4/17/2026
WDC,4/17/2026
TER,4/17/2026
TSEM,4/17/2026
ATI,4/17/2026
MTZ,4/17/2026
TRGP,4/17/2026
ROST,4/17/2026
COHR,4/17/2026
FDX,4/17/2026
ROIV,4/17/2026
HAL,4/17/2026
PR,4/17/2026
KEYS,4/17/2026
MU,4/17/2026
AMAT,4/17/2026
RBC,4/17/2026
MKSI,4/17/2026
JNJ,4/17/2026
GLW,4/17/2026
FIX,4/17/2026
CASY,4/17/2026
XOM,4/17/2026
DOW,4/17/2026
STX,4/17/2026
BG,4/17/2026
MRNA,4/17/2026
SNDK,4/24/2026
LITE,4/24/2026
CIEN,4/24/2026
FTI,4/24/2026
WDC,4/24/2026
TER,4/24/2026
MTZ,4/24/2026
TSEM,4/24/2026
COHR,4/24/2026
ATI,4/24/2026
ROST,4/24/2026
FDX,4/24/2026
KEYS,4/24/2026
TRGP,4/24/2026
PR,4/24/2026
AMAT,4/24/2026
RBC,4/24/2026
CASY,4/24/2026
HAL,4/24/2026
MKSI,4/24/2026
FIX,4/24/2026
GLW,4/24/2026
STX,4/24/2026
ROIV,4/24/2026
MU,4/24/2026
DOW,4/24/2026
RPRX,4/24/2026
CAT,4/24/2026
MRNA,4/24/2026
BG,4/24/2026
SNDK,4/29/2026
LITE,4/29/2026
CIEN,4/29/2026
FTI,4/29/2026
WDC,4/29/2026
TER,4/29/2026
MTZ,4/29/2026
TSEM,4/29/2026
COHR,4/29/2026
ATI,4/29/2026
ROST,4/29/2026
FDX,4/29/2026
KEYS,4/29/2026
TRGP,4/29/2026
PR,4/29/2026
AMAT,4/29/2026
RBC,4/29/2026
CASY,4/29/2026
HAL,4/29/2026
MKSI,4/29/2026
FIX,4/29/2026
GLW,4/29/2026
STX,4/29/2026
ROIV,4/29/2026
MU,4/29/2026
DOW,4/29/2026
RPRX,4/29/2026
CAT,4/29/2026
MRNA,4/29/2026
BG,4/29/2026
SNDK,5/4/2026
LITE,5/4/2026
CIEN,5/4/2026
FTI,5/4/2026
WDC,5/4/2026
MTZ,5/4/2026
COHR,5/4/2026
TSEM,5/4/2026
TER,5/4/2026
KEYS,5/4/2026
ROST,5/4/2026
TRGP,5/4/2026
STX,5/4/2026
FIX,5/4/2026
PR,5/4/2026
MU,5/4/2026
CASY,5/4/2026
RBC,5/4/2026
ATI,5/4/2026
MKSI,5/4/2026
HAL,5/4/2026
FDX,5/4/2026
AMAT,5/4/2026
RPRX,5/4/2026
GLW,5/4/2026
GEV,5/4/2026
MTSI,5/4/2026
CAT,5/4/2026
DOW,5/4/2026
VRT,5/4/2026
